class,trainset,testset,total
人参果,146,36,182
佛手瓜,129,32,161
哈密瓜,157,39,196
圣女果,158,39,197
山楂,159,39,198
山竹,152,38,190
无花果,156,39,195
木瓜,156,38,194
李子,154,38,192
杏,158,39,197
杨桃,157,39,196
杨梅,153,38,191
枇杷,151,37,188
枣,156,38,194
柚子,156,39,195
柠檬,122,30,152
柿子,154,38,192
树莓,149,37,186
桂圆,159,39,198
桑葚,156,39,195
梨,155,38,193
椰子,159,39,198
榴莲,159,39,198
樱桃,133,33,166
橘子,145,36,181
毛丹,127,31,158
水蜜桃,141,35,176
沃柑,159,39,198
沙果,153,38,191
沙棘,147,36,183
油桃,160,39,199
牛油果,120,30,150
猕猴桃,158,39,197
甘蔗,158,39,197
甜瓜-伊丽莎白,75,18,93
甜瓜-白,68,17,85
甜瓜-绿,35,8,43
甜瓜-金,42,10,52
番石榴-百,105,26,131
番石榴-红,121,30,151
白兰瓜,103,25,128
白心火龙果,148,37,185
白萝卜,160,39,199
百香果,151,37,188
石榴,153,38,191
砂糖橘,148,36,184
粑粑柑,154,38,192
红心火龙果,159,39,198
红苹果,142,35,177
羊奶果,156,39,195
羊角蜜,157,39,196
胡萝卜,149,37,186
脐橙,154,38,192
腰果,160,40,200
芒果,139,34,173
芦柑,146,36,182
草莓,159,39,198
荔枝,158,39,197
莲雾,156,39,195
菠萝,158,39,197
菠萝莓,91,22,113
菠萝蜜,160,39,199
葡萄-白,125,31,156
葡萄-红,160,39,199
蓝莓,158,39,197
蛇皮果,138,34,172
蟠桃,145,36,181
血橙,150,37,187
西柚,147,36,183
西梅,158,39,197
西瓜,156,38,194
西红柿,150,37,187
车厘子,136,33,169
酸角,153,38,191
金桔,145,36,181
青柠,119,29,148
青苹果,156,39,195
香橼,104,25,129
香蕉,155,38,193
黄桃,155,38,193
黑莓,150,37,187
